nodes number,make tableau time,pivoting time,equation solving time,total time,pivoting steps
73,0.0,2.594020366668701,0.0,2.594020366668701,68857
74,0.0,2.7111942768096924,0.0,2.7111942768096924,71669
75,0.0,2.861116409301758,0.0,2.861116409301758,74556
76,0.0,2.9570083618164062,0.0,2.9570083618164062,77520
77,0.016754627227783203,3.1617815494537354,0.0,3.1785361766815186,80561
78,0.015626907348632812,3.3441238403320312,0.0,3.359750747680664,83681
79,0.0010683536529541016,3.5785012245178223,0.0,3.5795695781707764,86880
80,0.0,3.7875537872314453,0.0,3.7875537872314453,90160
81,0.01562643051147461,4.0949320793151855,0.0,4.11055850982666,93521
82,0.0,4.236160516738892,0.0,4.236160516738892,96965
83,0.0,4.295360565185547,0.0,4.295360565185547,100492
84,0.015625953674316406,4.473295450210571,0.0,4.488921403884888,104104
85,0.0,4.783169746398926,0.0,4.783169746398926,107801
86,0.015619754791259766,5.0654456615448,0.0,5.08106541633606,111585
87,0.015625953674316406,5.421995162963867,0.0,5.437621116638184,115456
88,0.015617132186889648,5.605828046798706,0.0,5.621445178985596,119416
89,0.0156252384185791,6.019122123718262,0.0,6.034747362136841,123465
90,0.0,6.323142051696777,0.0,6.323142051696777,127605
91,0.0,6.626972436904907,0.0,6.626972436904907,131836
92,0.015619277954101562,7.007773160934448,0.0,7.02339243888855,136160
93,0.015625715255737305,7.435221910476685,0.0,7.450847625732422,140577
94,0.015645980834960938,7.837243556976318,0.0,7.852889537811279,145089
95,0.015620946884155273,8.293481826782227,0.0,8.309102773666382,149696
96,0.0,8.800630569458008,0.0,8.800630569458008,154400
97,0.0,9.27590298652649,0.0,9.27590298652649,159201
98,0.01561737060546875,9.629627227783203,0.0,9.645244598388672,164101
99,0.01561880111694336,10.055554151535034,0.0,10.071172952651978,169100
100,0.0,10.656266212463379,0.0,10.656266212463379,174200
101,0.015620231628417969,11.172998428344727,0.0,11.188618659973145,179401
102,0.015612363815307617,11.822638034820557,0.0,11.838250398635864,184705
103,0.015617847442626953,12.486396551132202,0.0,12.502014398574829,190112
104,0.01564502716064453,12.906663656234741,0.0,12.922308683395386,195624
105,0.01565098762512207,13.526890754699707,0.0,13.542541742324829,201241
106,0.0,14.25264596939087,0.0,14.25264596939087,206965
107,0.0156097412109375,15.75413465499878,0.0,15.769744396209717,212796
108,0.01560068130493164,17.44316792488098,0.0,17.458768606185913,218736
109,0.01564645767211914,16.53097438812256,0.0,16.546620845794678,224785
110,0.015645980834960938,17.23793315887451,0.0,17.253579139709473,230945
111,0.015620946884155273,17.80134654045105,0.0,17.816967487335205,237216
112,0.015625,18.68252992630005,0.0,18.69815492630005,243600
113,0.015617132186889648,19.416933059692383,0.0,19.432550191879272,250097
114,0.015616416931152344,20.090307474136353,0.0,20.105923891067505,256709
115,0.031247615814208984,21.00727939605713,0.0,21.038527011871338,263436
116,0.015619754791259766,22.112301349639893,0.0,22.127921104431152,270280
117,0.015642881393432617,22.904780626296997,0.0,22.92042350769043,277241
118,0.015623331069946289,24.361870527267456,0.0,24.377493858337402,284321
119,0.015644550323486328,25.265058279037476,0.0,25.280702829360962,291520
120,0.015626192092895508,25.93286919593811,0.0,25.948495388031006,298840
121,0.03125309944152832,27.01168131828308,0.0,27.04293441772461,306281
122,0.01562666893005371,28.026044607162476,0.0,28.04167127609253,313845
123,0.031253814697265625,29.438160181045532,0.0,29.469413995742798,321532
124,0.031248092651367188,30.398261070251465,0.0,30.429509162902832,329344
125,0.015593290328979492,32.01359438896179,0.0,32.02918767929077,337281
126,0.03122568130493164,33.28000497817993,0.0,33.31123065948486,345345
127,0.015606164932250977,34.34300518035889,0.0,34.35861134529114,353536
128,0.01562786102294922,35.25813555717468,0.0,35.27376341819763,361856
129,0.015592575073242188,37.09838676452637,0.0,37.11397933959961,370305
130,0.01562666893005371,38.65876364707947,0.0,38.67439031600952,378885
131,0.031250715255737305,40.00549292564392,0.0,40.03674364089966,387596
132,0.015606403350830078,41.191295862197876,0.0,41.206902265548706,396440
133,0.03125286102294922,43.54859733581543,0.0,43.57985019683838,405417
134,0.015627145767211914,45.17194676399231,0.0,45.18757390975952,414529
135,0.03125357627868652,46.2337441444397,0.0,46.264997720718384,423776
136,0.031220197677612305,47.30042600631714,0.0,47.33164620399475,433160
137,0.031232118606567383,49.40629959106445,0.0,49.43753170967102,442681
