nodes number,tree construction time,find aug path time,total time,aug path number,traverse steps
160,0.42336082458496094,0.0,0.47023940086364746,160,26080
161,0.4531717300415039,0.0,0.515679121017456,161,26404
162,0.437544584274292,0.0,0.4844248294830322,162,26730
163,0.47311854362487793,0.0,0.5376310348510742,163,27058
164,0.43752408027648926,0.0,0.5000522136688232,164,27388
165,0.5157046318054199,0.0,0.5469541549682617,165,27720
166,0.4531731605529785,0.0,0.5156798362731934,166,28054
167,0.5312871932983398,0.0,0.5625393390655518,167,28390
168,0.5000944137573242,0.0,0.5469527244567871,168,28728
169,0.5639691352844238,0.0,0.5795950889587402,169,29068
170,0.4687991142272949,0.0,0.5625603199005127,170,29410
171,0.5156593322753906,0.0,0.5937914848327637,171,29754
172,0.5480406284332275,0.0,0.5794899463653564,172,30100
173,0.6094379425048828,0.0,0.6250650882720947,173,30448
174,0.6107370853424072,0.0,0.6430144309997559,174,30798
175,0.515937089920044,0.0,0.6117031574249268,175,31150
176,0.5738310813903809,0.0,0.6539697647094727,176,31504
177,0.5011250972747803,0.0,0.673358678817749,177,31860
178,0.5469098091125488,0.0,0.6406707763671875,178,32218
179,0.5652663707733154,0.0,0.6769700050354004,179,32578
180,0.5938127040863037,0.0,0.7032003402709961,180,32940
181,0.5938117504119873,0.0,0.6719443798065186,181,33304
182,0.6406927108764648,0.0,0.7188253402709961,182,33670
183,0.6406941413879395,0.0,0.734452486038208,183,34038
184,0.6733832359313965,0.0,0.7515277862548828,184,34408
185,0.6094212532043457,0.0,0.718806266784668,185,34780
186,0.734478235244751,0.0,0.7657310962677002,186,35154
187,0.6719202995300293,0.0,0.7813065052032471,187,35530
188,0.6875960826873779,0.0,0.7813546657562256,188,35908
189,0.6266663074493408,0.0,0.8035879135131836,189,36288
190,0.7469723224639893,0.0,0.7948546409606934,190,36670
191,0.7670881748199463,0.0,0.8139665126800537,191,37054
192,0.7344541549682617,0.0,0.8594658374786377,192,37440
193,0.7031786441802979,0.0,0.8438189029693604,193,37828
194,0.734480619430542,0.0,0.8594851493835449,194,38218
195,0.8282115459442139,0.0,0.8907175064086914,195,38610
196,0.6889655590057373,0.0,0.8921136856079102,196,39004
197,0.7880244255065918,0.0,0.8974089622497559,197,39400
198,0.8521158695220947,0.0,0.9146206378936768,198,39798
199,0.8282122611999512,0.0,0.9219720363616943,199,40198
200,0.8594646453857422,0.0,0.937598466873169,200,40600
